age,income,loan_amount,loan_tenure_months,avg_dpd_per_delinquency,delinquency_ratio,credit_utilization_ratio,num_open_accounts,residence_type,loan_purpose,loan_type,default
59,17017.91,10742.29,24,4.5,0.1045,0.2896,2,Mortgage,Personal,Secured,0
49,16272.41,17873.49,18,13.3,0.2862,0.1005,7,Rented,Auto,Unsecured,0
35,16632.23,17886.76,60,9.0,0.09,0.0793,1,Mortgage,Personal,Unsecured,1
63,32641.91,11176.76,6,2.2,0.002,0.2659,5,Owned,Education,Unsecured,0
28,9242.25,6254.98,48,3.1,0.1295,0.6029,1,Owned,Education,Secured,0
41,15547.46,14176.04,48,6.7,0.0037,0.4116,2,Mortgage,Home,Unsecured,0
59,30026.58,11367.37,18,26.0,0.3447,0.208,2,Rented,Education,Secured,0
39,15416.41,21262.75,12,9.9,0.0554,0.3047,7,Rented,Personal,Unsecured,0
43,10513.76,12253.16,24,7.2,0.332,0.1914,1,Mortgage,Home,Secured,0
31,20104.12,12532.27,60,10.4,0.262,0.3055,5,Mortgage,Home,Unsecured,0
31,24445.12,16034.9,24,1.6,0.0564,0.2246,7,Owned,Auto,Unsecured,0
44,14857.27,12016.38,18,1.3,0.0903,0.3443,3,Rented,Education,Unsecured,0
56,22434.95,15471.78,24,35.3,0.1023,0.1773,4,Owned,Personal,Unsecured,0
60,6987.08,9304.85,24,18.2,0.0224,0.135,6,Rented,Auto,Unsecured,0
44,7431.78,6407.2,18,8.0,0.0027,0.1614,1,Owned,Home,Unsecured,1
23,14479.31,7437.16,6,6.3,0.045,0.0361,6,Rented,Home,Unsecured,0
42,22720.14,10314.38,48,4.2,0.1355,0.04,7,Mortgage,Education,Unsecured,0
22,24091.98,12593.1,18,7.6,0.227,0.3094,5,Rented,Home,Unsecured,0
44,8543.87,14495.19,12,31.6,0.0572,0.4498,7,Rented,Education,Secured,0
64,23795.37,14278.24,36,0.7,0.0281,0.1379,7,Rented,Home,Unsecured,0
50,19332.06,12050.37,6,8.8,0.1328,0.5703,5,Rented,Personal,Secured,0
58,10966.36,6649.53,18,30.0,0.0624,0.2161,6,Rented,Home,Secured,0
22,7326.49,15494.13,6,14.7,0.0377,0.3626,4,Rented,Personal,Secured,0
41,19838.59,4493.28,36,15.4,0.0169,0.1379,7,Owned,Home,Unsecured,0
53,28316.51,6162.07,24,10.3,0.0621,0.4061,3,Owned,Personal,Unsecured,0
32,18284.18,12225.98,24,26.5,0.1182,0.2001,3,Owned,Personal,Unsecured,0
42,10520.63,15982.26,36,26.9,0.0129,0.0642,2,Rented,Education,Unsecured,1
64,3055.82,15136.56,24,7.3,0.1255,0.2321,2,Rented,Home,Secured,0
45,30235.93,11498.33,6,13.7,0.0253,0.6065,6,Rented,Education,Unsecured,0
47,26334.8,14223.75,24,44.3,0.0564,0.063,1,Owned,Home,Unsecured,0
62,20416.61,6672.73,36,6.0,0.1217,0.1734,6,Mortgage,Personal,Unsecured,0
48,29823.95,9191.01,36,4.4,0.0363,0.1476,7,Rented,Home,Unsecured,0
36,19791.35,9266.81,48,1.2,0.0577,0.4497,3,Mortgage,Education,Unsecured,0
35,13751.7,7125.61,36,11.0,0.2315,0.3774,1,Mortgage,Personal,Unsecured,0
64,22441.06,10203.54,12,1.5,0.0162,0.1503,2,Rented,Home,Unsecured,0
23,11362.19,10955.88,60,8.1,0.0957,0.2897,1,Rented,Personal,Unsecured,0
57,10034.82,9688.53,6,0.6,0.1787,0.2131,4,Owned,Personal,Unsecured,0
27,24172.86,10716.27,36,52.6,0.1219,0.1963,7,Owned,Auto,Secured,1
41,24846.07,1000.0,48,10.9,0.2261,0.2818,6,Rented,Education,Unsecured,0
29,7810.09,13928.46,6,0.6,0.0535,0.2113,1,Rented,Personal,Secured,0
59,8105.62,9971.93,48,12.6,0.1668,0.5126,2,Rented,Personal,Unsecured,0
38,14439.6,9967.2,12,9.4,0.0116,0.1668,2,Mortgage,Home,Unsecured,1
24,12309.56,5058.57,6,11.9,0.0006,0.1872,4,Rented,Education,Unsecured,0
45,21811.91,19755.03,18,16.7,0.3137,0.4009,4,Rented,Personal,Unsecured,0
34,18384.4,19991.69,60,12.2,0.0117,0.4809,3,Owned,Education,Unsecured,0
29,27319.25,3657.21,60,1.9,0.025,0.3016,4,Rented,Education,Secured,0
46,20538.06,10822.35,12,3.1,0.0741,0.392,4,Owned,Personal,Secured,0
22,12843.39,16638.96,12,2.1,0.0172,0.0291,7,Mortgage,Home,Unsecured,0
40,3000.0,10207.33,24,12.4,0.2816,0.314,3,Rented,Personal,Secured,1
48,19435.65,8969.32,36,5.1,0.1582,0.4137,4,Rented,Personal,Unsecured,0
27,4317.38,8644.57,12,0.7,0.015,0.4614,5,Rented,Personal,Unsecured,0
64,12744.36,13563.52,60,6.7,0.0736,0.3566,5,Rented,Personal,Secured,0
28,12226.19,25076.97,6,6.0,0.1491,0.3277,5,Rented,Education,Unsecured,0
55,13932.58,16139.51,18,8.3,0.238,0.4175,4,Owned,Education,Secured,0
34,7471.73,6457.21,6,24.5,0.0174,0.2034,2,Mortgage,Auto,Secured,0
37,12197.79,8855.58,60,16.5,0.2443,0.0874,2,Owned,Home,Secured,0
56,27167.24,10661.23,6,14.2,0.0512,0.2122,3,Owned,Personal,Unsecured,0
60,27145.19,7704.17,18,2.3,0.0689,0.075,2,Owned,Personal,Unsecured,0
24,30260.0,6771.58,48,23.8,0.3048,0.1065,2,Rented,Education,Secured,0
22,18081.17,15749.65,24,4.6,0.0069,0.099,3,Rented,Personal,Secured,0
26,20169.75,9485.33,60,5.8,0.2962,0.1995,5,Owned,Home,Secured,0
62,27284.89,13859.07,36,0.3,0.0719,0.1574,3,Rented,Home,Secured,0
24,6234.71,20912.14,60,10.5,0.021,0.0958,2,Owned,Personal,Secured,0
49,24445.03,9378.32,12,28.7,0.1391,0.0649,7,Owned,Personal,Unsecured,0
38,28418.76,13373.13,36,3.0,0.0209,0.2417,2,Rented,Personal,Secured,0
46,10888.32,6881.89,24,2.5,0.1168,0.3169,3,Owned,Personal,Unsecured,0
64,29061.11,14077.55,48,2.2,0.2729,0.4723,4,Owned,Personal,Secured,0
54,34461.73,18500.22,18,3.7,0.158,0.5001,2,Rented,Home,Unsecured,0
30,24222.77,18242.24,36,13.6,0.0283,0.4648,2,Owned,Home,Secured,0
56,22756.03,12211.53,60,18.5,0.3743,0.0436,3,Rented,Home,Secured,1
34,9041.79,9405.18,6,13.2,0.0957,0.1347,6,Rented,Personal,Unsecured,0
51,26553.63,13184.02,12,3.7,0.1117,0.1567,2,Owned,Education,Secured,0
35,9795.27,12255.56,12,10.6,0.0056,0.3152,6,Owned,Personal,Secured,0
28,20957.93,14305.69,48,9.3,0.1095,0.1277,4,Rented,Auto,Unsecured,0
